violin ;        -10;         -9;         -8;         -7;         -6;         -5;         -4;         -3;         -2;         -1;          0;          1;          2;          3;          4
       ;B3         ;C4         ;C#4/Db4    ;D4         ;D#4/Eb4    ;E4         ;F4         ;F#4/Gb4    ;G4         ;G#4/Ab4    ;A4         ;A#4/Bb4    ;B4         ;C5         ;C#5/Db5    
C/a    ;-7:_       ;-6:_       ;-6:# /-5:b ;-5:_       ;-5:# /-4:b ;-4:_       ;-3:_       ;-3:# /-2:b ;-2:_       ;-2:# /-1:b ;-1:_       ;-1:# / 0:b ; 0:_       ; 1:_       ; 1:# / 2:b 
F/d    ;-7:n /-6:b ;-6:_       ;-6:# /-5:b ;-5:_       ;-5:# /-4:b ;-4:_       ;-3:_       ;-3:# /-2:b ;-2:_       ;-2:# /-1:b ;-1:_       ; 0:_       ; 0:n / 1:b ; 1:_       ; 1:# / 2:b 
Bb/g   ;-7:n /-6:b ;-6:_       ;-6:# /-5:b ;-5:_       ;-4:_       ;-4:n /-3:b ;-3:_       ;-3:# /-2:b ;-2:_       ;-2:# /-1:b ;-1:_       ; 0:_       ; 0:n / 1:b ; 1:_       ; 1:# / 2:b 
Eb/c   ;-7:n /-6:b ;-6:_       ;-6:# /-5:b ;-5:_       ;-4:_       ;-4:n /-3:b ;-3:_       ;-3:# /-2:b ;-2:_       ;-1:_       ;-1:n / 0:bb; 0:_       ; 0:n / 1:b ; 1:_       ; 1:# / 2:b 
Ab/f   ;-7:n /-6:b ;-6:_       ;-5:_       ;-5:n /-4:bb;-4:_       ;-4:n /-3:b ;-3:_       ;-3:# /-2:b ;-2:_       ;-1:_       ;-1:n / 0:bb; 0:_       ; 0:n / 1:b ; 1:_       ; 2:_       
Db/bb  ;-7:n /-6:b ;-6:_       ;-5:_       ;-5:n /-4:bb;-4:_       ;-4:n /-3:b ;-3:_       ;-2:_       ;-2:n /-1:bb;-1:_       ;-1:n / 0:bb; 0:_       ; 0:n / 1:b ; 1:_       ; 2:_       
C#/a#  ;-8:##/-7:n ;-7:_       ;-6:_       ;-6:##/-5:n ;-5:_       ;-5:##/-4:n ;-4:_       ;-3:_       ;-3:##/-2:n ;-2:_       ;-2:##/-1:n ;-1:_       ;-1:##/ 0:n ; 0:_       ; 1:_       
F#/d#  ;-7:_       ;-7:##/-6:n ;-6:_       ;-6:##/-5:n ;-5:_       ;-5:##/-4:n ;-4:_       ;-3:_       ;-3:##/-2:n ;-2:_       ;-2:##/-1:n ;-1:_       ; 0:_       ; 0:##/ 1:n ; 1:_       
Gb/eb  ;-6:_       ;-6:n /-5:bb;-5:_       ;-5:n /-4:bb;-4:_       ;-4:n /-3:b ;-3:_       ;-2:_       ;-2:n /-1:bb;-1:_       ;-1:n / 0:bb; 0:_       ; 1:_       ; 1:n / 2:bb; 2:_       
B/g#   ;-7:_       ;-7:##/-6:n ;-6:_       ;-6:##/-5:n ;-5:_       ;-4:_       ;-4:# /-3:n ;-3:_       ;-3:##/-2:n ;-2:_       ;-2:##/-1:n ;-1:_       ; 0:_       ; 0:##/ 1:n ; 1:_       
Cb/ab  ;-6:_       ;-6:n /-5:bb;-5:_       ;-5:n /-4:bb;-4:_       ;-3:_       ;-3:n /-2:bb;-2:_       ;-2:n /-1:bb;-1:_       ;-1:n / 0:bb; 0:_       ; 1:_       ; 1:n / 2:bb; 2:_       
E/c#   ;-7:_       ;-7:##/-6:n ;-6:_       ;-6:##/-5:n ;-5:_       ;-4:_       ;-4:# /-3:n ;-3:_       ;-3:##/-2:n ;-2:_       ;-1:_       ;-1:# / 0:b ; 0:_       ; 0:##/ 1:n ; 1:_       
A/f#   ;-7:_       ;-7:##/-6:n ;-6:_       ;-5:_       ;-5:# /-4:b ;-4:_       ;-4:# /-3:n ;-3:_       ;-3:##/-2:n ;-2:_       ;-1:_       ;-1:# / 0:b ; 0:_       ; 0:##/ 1:n ; 1:_       
D/b    ;-7:_       ;-7:##/-6:n ;-6:_       ;-5:_       ;-5:# /-4:b ;-4:_       ;-4:# /-3:n ;-3:_       ;-2:_       ;-2:# /-1:b ;-1:_       ;-1:# / 0:b ; 0:_       ; 0:##/ 1:n ; 1:_       
G/e    ;-7:_       ;-6:_       ;-6:# /-5:b ;-5:_       ;-5:# /-4:b ;-4:_       ;-4:# /-3:n ;-3:_       ;-2:_       ;-2:# /-1:b ;-1:_       ;-1:# / 0:b ; 0:_       ; 1:_       ; 1:# / 2:b 
